UF,Município,cod_mun
BA,Abaíra,290010
BA,Abaré,290020
BA,Acajutiba,290030
BA,Adustina,290035
BA,Água Fria,290040
BA,Aiquara,290060
BA,Alagoinhas,290070
BA,Alcobaça,290080
BA,Almadina,290090
BA,Amargosa,290100
BA,Amélia Rodrigues,290110
BA,América Dourada,290115
BA,Anagé,290120
BA,Andaraí,290130
BA,Andorinha,290135
BA,Angical,290140
BA,Anguera,290150
BA,Antas,290160
BA,Antônio Cardoso,290170
BA,Antônio Gonçalves,290180
BA,Aporá,290190
BA,Apuarema,290195
BA,Araças,290205
BA,Aracatu,290200
BA,Araci,290210
BA,Aramari,290220
BA,Arataca,290225
BA,Aratuípe,290230
BA,Aurelino Leal,290240
BA,Baianópolis,290250
BA,Baixa Grande,290260
BA,Banzaê,290265
BA,Barra,290270
BA,Barra da Estiva,290280
BA,Barra do Choça,290290
BA,Barra do Mendes,290300
BA,Barra do Rocha,290310
BA,Barreiras,290320
BA,Barro Alto,290323
BA,Barrocas,290327
BA,Barro Preto,290330
BA,Belmonte,290340
BA,Belo Campo,290350
BA,Biritinga,290360
BA,Boa Nova,290370
BA,Boa Vista do Tupim,290380
BA,Bom Jesus da Lapa,290390
BA,Bom Jesus da Serra,290395
BA,Boninal,290400
BA,Bonito,290405
BA,Boquira,290410
BA,Botuporã,290420
BA,Brejões,290430
BA,Brejolândia,290440
BA,Brotas de Macaúbas,290450
BA,Brumado,290460
BA,Buerarema,290470
BA,Buritirama,290475
BA,Caatiba,290480
BA,Cabaceiras do Paraguaçu,290485
BA,Cachoeira,290490
BA,Caculé,290500
BA,Caém,290510
BA,Caetanos,290515
BA,Caetité,290520
BA,Cafarnaum,290530
BA,Cairu,290540
BA,Caldeirão Grande,290550
BA,Camacan,290560
BA,Camaçari,290570
BA,Camamu,290580
BA,Campo Alegre de Lourdes,290590
BA,Campo Formoso,290600
BA,Canápolis,290610
BA,Canarana,290620
BA,Canavieiras,290630
BA,Candeal,290640
BA,Candeias,290650
BA,Candiba,290660
BA,Cândido Sales,290670
BA,Cansanção,290680
BA,Canudos,290682
BA,Capela do Alto Alegre,290685
BA,Capim Grosso,290687
BA,Caraíbas,290689
BA,Caravelas,290690
BA,Cardeal da Silva,290700
BA,Carinhanha,290710
BA,Casa Nova,290720
BA,Castro Alves,290730
BA,Catolândia,290740
BA,Catu,290750
BA,Caturama,290755
BA,Central,290760
BA,Chorrochó,290770
BA,Cícero Dantas,290780
BA,Cipó,290790
BA,Coaraci,290800
BA,Cocos,290810
BA,Conceição da Feira,290820
BA,Conceição do Almeida,290830
BA,Conceição do Coité,290840
BA,Conceição do Jacuípe,290850
BA,Conde,290860
BA,Condeúba,290870
BA,Contendas do Sincorá,290880
BA,Coração de Maria,290890
BA,Cordeiros,290900
BA,Coribe,290910
BA,Coronel João Sá,290920
BA,Correntina,290930
BA,Cotegipe,290940
BA,Cravolândia,290950
BA,Crisópolis,290960
BA,Cristópolis,290970
BA,Cruz das Almas,290980
BA,Curaçá,290990
BA,Dário Meira,291000
BA,Dias d'Ávila,291005
BA,Dom Basílio,291010
BA,Dom Macedo Costa,291020
BA,Elísio Medrado,291030
BA,Encruzilhada,291040
BA,Entre Rios,291050
BA,Érico Cardoso,290050
BA,Esplanada,291060
BA,Euclides da Cunha,291070
BA,Eunápolis,291072
BA,Fátima,291075
BA,Feira da Mata,291077
BA,Feira de Santana,291080
BA,Filadélfia,291085
BA,Firmino Alves,291090
BA,Floresta Azul,291100
BA,Formosa do Rio Preto,291110
BA,Gandu,291120
BA,Gavião,291125
BA,Gentio do Ouro,291130
BA,Glória,291140
BA,Gongogi,291150
BA,Governador Mangabeira,291160
BA,Guajeru,291165
BA,Guanambi,291170
BA,Guaratinga,291180
BA,Heliópolis,291185
BA,Iaçu,291190
BA,Ibiassucê,291200
BA,Ibicaraí,291210
BA,Ibicoara,291220
BA,Ibicuí,291230
BA,Ibipeba,291240
BA,Ibipitanga,291250
BA,Ibiquera,291260
BA,Ibirapitanga,291270
BA,Ibirapuã,291280
BA,Ibirataia,291290
BA,Ibitiara,291300
BA,Ibititá,291310
BA,Ibotirama,291320
BA,Ichu,291330
BA,Igaporã,291340
BA,Igrapiúna,291345
BA,Iguaí,291350
BA,Ilhéus,291360
BA,Inhambupe,291370
BA,Ipecaetá,291380
BA,Ipiaú,291390
BA,Ipirá,291400
BA,Ipupiara,291410
BA,Irajuba,291420
BA,Iramaia,291430
BA,Iraquara,291440
BA,Irará,291450
BA,Irecê,291460
BA,Itabela,291465
BA,Itaberaba,291470
BA,Itabuna,291480
BA,Itacaré,291490
BA,Itaeté,291500
BA,Itagi,291510
BA,Itagibá,291520
BA,Itagimirim,291530
BA,Itaguaçu da Bahia,291535
BA,Itaju do Colônia,291540
BA,Itajuípe,291550
BA,Itamaraju,291560
BA,Itamari,291570
BA,Itambé,291580
BA,Itanagra,291590
BA,Itanhém,291600
BA,Itaparica,291610
BA,Itapé,291620
BA,Itapebi,291630
BA,Itapetinga,291640
BA,Itapicuru,291650
BA,Itapitanga,291660
BA,Itaquara,291670
BA,Itarantim,291680
BA,Itatim,291685
BA,Itiruçu,291690
BA,Itiúba,291700
BA,Itororó,291710
BA,Ituaçu,291720
BA,Ituberá,291730
BA,Iuiú,291733
BA,Jaborandi,291735
BA,Jacaraci,291740
BA,Jacobina,291750
BA,Jaguaquara,291760
BA,Jaguarari,291770
BA,Jaguaripe,291780
BA,Jandaíra,291790
BA,Jequié,291800
BA,Jeremoabo,291810
BA,Jiquiriçá,291820
BA,Jitaúna,291830
BA,João Dourado,291835
BA,Juazeiro,291840
BA,Jucuruçu,291845
BA,Jussara,291850
BA,Jussari,291855
BA,Jussiape,291860
BA,Lafaiete Coutinho,291870
BA,Lagoa Real,291875
BA,Laje,291880
BA,Lajedão,291890
BA,Lajedinho,291900
BA,Lajedo do Tabocal,291905
BA,Lamarão,291910
BA,Lapão,291915
BA,Lauro de Freitas,291920
BA,Lençóis,291930
